conversation_context,intent,escalate
"@AppleSupport When are we going to get this fixed? Happens WAYYY too often.... #iPhone7Plus https://t.co/J0Mja6kkdA
@769280 We know how important it is to have your iPhone performing at its best. Please tell us which device we're working with, and the iOS version number it's running. You can find that by going to Settings &gt; General &gt; About &gt; Version.",technical_support,no
"@AppleSupport Iphone 5S on IOS 10 keeps crashing everytime I enter the messages app. i tried resetting all settings, deleted all texts and soft reset (pressing home +power button) and still crashes :(
@150972 We'd be happy to help out. Does this persist when on cellular and Wi-Fi networks? When did you notice this happening?
@AppleSupport (2) recall to be the thing that caused it. I also downloaded the Anomal Crossing app but i dont think that was it. After the video my phone's message app has been acting up and nothing seems to fix it. I have not tried with wifi yet as I dont have wifi today. Tomorrow I will.
@150972 We appreciate you testing out Wi-Fi for us. Do you have any app updates available in the App Store &gt; Updates? If so, while connected to Wi-Fi update apps to ensure compatibility.",connectivity,no
"@AppleSupport can you please fix an issue in the iphone headphones that do an annoying sound when they are plugged in.
@172167 We certainly want to take a look into this further. If we understand correctly this only occurs when connecting the EarBuds?",technical_support,no
Share your favorite music with the world or keep the hidden gems to yourself. You choose which of your Apple Music playlists get shared. https://t.co/QKrVxm50y0,other,no
"@AppleSupport Just did recent update now my text replacement doesn’t work. What gives?
@173737 Let's see if we can get those working again. What type of device do you have? Which version did you just update?",product_issue,no
"Hi @AppleSupport! My dad's iPhone 5 battery is swelling, causing the screen to separate and home button to fall out. Help? He's in Malaysia.",product_issue,no
"@AppleSupport 
Hello, I need urgent help, I accidentally deleted a voice recording on my iPhone. How can I recover it?
@713692 We'll be happy to take a look at this with you. To start, was the voice recording made in the Voice Memos app? Also, do you know if you have a recent backup from prior to deleting the recording? This resource can help: https://t.co/vU7gSUiOfd
@AppleSupport @AppleSupport Yes, the recording was done in the voice note application, but I had no backup
@713692 Thanks for clarifying. Without a backup, there wouldn't be a way to recover the deleted recording. You may want to consider enabling automatic iCloud backups. That can help with ensuring your important data is stored safely: https://t.co/qoJHp4BG4q",account_access,yes
"@785139 @115858 6 or 6s? It seems like all the 6 models are basically being shut off and it’s annoying afff
@258001 We'd like to better understand what's happening to help. Are we correct in saying it's powering off on its own?

Also, which model do you have and what's the exact iOS verison number installed?
@AppleSupport Texts won’t go through, apps not loading, safari not loading. Almost as if there’s no service, but there’s 4 bars. 6 or 6s, 11.1.2 iOS
@258001 Do you experience these issues while connected to Wi-Fi as well? Also, does restarting your iPhone make a difference at all?",connectivity,no
"@115858 how to fix messages that are appearing on top of messages sent not on the bottom of them (as a conversation) so frustrating 😠
@360226 Let's take a look at your Messages together. Which device is this happening on &amp; what version of iOS is installed?",technical_support,no
"@AppleSupport when are you going to fix the issues of iOS 11
@584999 We'd be happy to help out. Have you also updated to iOS 11.1.1? Which Bluetooth devices do you connect to the iPhone?",technical_support,no
"Can you fix this battery issue with the ios11 update? 😡 @AppleSupport
@269721 We want you to have a good experience with an update. Let's work together to get this battery issue resolved. About how long (in hours) is the battery lasting?",account_access,no
"Neither iPhone alarm went off this morning, had to make a 5:30 AM flight. The 2am alarm on one phone finally went off at 5:40 on it's own. United just charged $640 per person to get on a later flight today 😠 @AppleSupport",cancellation,no
"I’m trying to type it not fuckin I.T, your product is absolute garbage. Figure it out. @115858 @AppleSupport
@134527 Let's take a closer look at this to get your device working right. Which model do you have and what's the exact OS version number installed?

Have you tried any steps so far and when did this start happening?",technical_support,no
"@AppleSupport hi, could you help me with this?
since I’ve updated to iOS11, wifi is almost always turned on even when I turn it off. Thanks
@286523 Have you turned off Wi-Fi from Settings &gt; Wi-Fi? Control Center no longer permanently toggles it off: https://t.co/G7BHuQnDS6",connectivity,no
"@AppleSupport Please Fix this😡😡😡😡😡😡😡😡 https://t.co/OKjxGuLRTd
@528782 We'd love to help out. What accessory are you using that you get this prompt?",account_access,no
"My music app won’t open and I can’t open it in the settings either, uh help? @115858
@266419 We'd like to help you get back to listening your music. Could you tell us which device you're using? Which system do you have installed?
@AppleSupport iPhone 7+ and IOS 11.1.2
@266419 Let's start with something simple that can help resolve most issues with a fresh start. Have you restarted your iPhone yet?",product_issue,no
"@AppleSupport No, didn't help me because, how i said, my ipad is ios 5.1.1.
@452054 Thank you for clarifying. Have you had Pages installed before?
@AppleSupport No, I haven't. I just bought this iPad two days ago on internet for US$113,21 to study for the college.
@452054 Thank you for that information. Just to confirm, you cannot locate the Pages app in the App Store, is that correct?",account_access,no
"@AppleSupport @328363 Could you help me to unlock my iPhone 5 activation
@552955 We'd like to help! When you say unlock your iPhone 5 activation; does that mean you have an activation lock?
@AppleSupport I do not have an activation key.
@552955  That makes sense. Since you do not have an activation key, please DM us to let us know when you submitted for recovery. https://t.co/GDrqU22YpT",account_access,no
"@115858 check ths out: iPhone X just received 5 days ago &amp; already a wrap. Screen went completely green &amp; phone calls 911 on its own. $1k for this??  Now daughter has no phone, bday on Thursday, &amp; 🍎 wants to authorize another $1k to send a phone😳 https://t.co/w8rYD7ExBd",cancellation,no
"@AppleSupport Why is it that since iOS 10, I can’t turn Do Not Disturb on or off using Siri while the phone is locked? Doesn’t do it on friends phones.
@820051 We know how convenient our Siri feature can be. We want to help. Let's start by checking your Siri settings to make sure ""Allow Siri When Locked"" is turned on. This article shows you how to check those settings. https://t.co/vDsPkLKaYM",cancellation,no
"Fix my shit @AppleSupport
@118249 We're always ready to help, but we'll need more details to start. Reply by DM with which model is it and what's happening with it. https://t.co/GDrqU22YpT",technical_support,no
"@AppleSupport when writing email, gmail account, in Mail app, on our iMac, sometimes progressive drafts show up on our iPad, but not iMac
@630382 Let's look into this further and figure it out. Does a restart help? Which macOS version are you running: https://t.co/aTSJR8BjEc
@AppleSupport Haven’t restarted yet, seems intermittent
@630382 Got it. Do you recall how often it happens? Let's restart your Mac, as well as the Mail app to see if anything changes.",account_access,no
Can someone pleeeeeease help me save excell files to my computer idk why I can and it is f r u s t r a t i n g,connectivity,no
"@AppleSupport are these the default number of Kogel was in control centre? https://t.co/4vjJxp8t7A
@203476 In iOS 11, these are the default controls that should show in Control Center.",account_access,no
"Dopo più di 10 anni passati a raccontare la bellezza dei prodotti @115858 e l’efficacia del suo servizio clienti, oggi quasi cambio idea: grave delusione per come sono stato trattato dopo aver acquistato un #MacBookPro che dal primo minuto non funziona #NoComment @AppleSupport
@775081 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj",information_request,no
"Started using the new #iPhoneX at 8am. Ending the day at 9:30pm. Battery is now at 5 percent. Not bad, @115858, not bad.
@519562 @115858 I’ve had to recharge 3 times. Bad @115858. Bad.
@519561 Battery life is definitely important. Tell us the iOS version your iPhone is on, and we’ll partner to get this resolved.",technical_support,no
"@AppleSupport @115858 excuse me can one of y’all explain this to me cause I’m getting real irritated 🤬 https://t.co/aK4zBy02qV
@495894 We're here to help. Follow the steps here: https://t.co/xXaXeeSRt9 DM us if you have questions. https://t.co/GDrqU22YpT",account_access,no
"@AppleSupport #Arabic / #Persian / #Urdu in iOS 11 offers poor readability: cut off letters, uneven line spacing. iOS 9 style was fine
@393798 @AppleSupport Which apps are offering poor readability? Would you please list them here? Thx
@267118 @AppleSupport Any and every app where text can be typed - Evernote, WhatsApp, Mail, Notes

کوئی بھی ایپ
خط و خطابت، پیغامات
یا
کچھ اور
@393798 @AppleSupport please share screenshots of Mail and Notes issue. WhatsApp and Evernote are non-Apple App please talk to their respective devs.",delivery,no
"Why is it always so damn hard to get iCloud tabs working across all devices and instances of Safari? @AppleSupport
@309943 We want to make sure things are working for you. What kind of issues are you seeing with iCloud Tabs on your devices?",technical_support,no
"iPhone screen just not responding to touch - does this ever happen to you? https://t.co/kCd0f9jjil
@553506 That happens to me sometimes when I’m charging my phone. Looks like you’re doing the same. Does it still not work when you unplug it?
@669118 Does not work no matter what. Can't turn it off either
@553506 Oh… well… that’s something.",technical_support,no
"Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY",account_access,no
Hey @AppleSupport when are you going to fix this shit “I️” cause it’s really annoying!,complaint,no
"@AppleSupport Is there a supported brands for a splitter for headphones and charging at the same time for iPhone 7+?
@486297 We provide 2 types of adapters for you to charge and listen to your headphones. Check them out here: https://t.co/WcMEKQyQeG",billing,no
"Hey @115858 I’m never going to set up Apple Pay, now take the notification icon off my Settings app before my OCD kills me.
@261801 Thanks for reaching out. We certainly understand not wanting to be reminded about a feature you don't intend to use. You can tap Settings &gt; Notifications to modify or disable notifications for Wallet. Let us know if that helps!
@AppleSupport That did nothing https://t.co/hY9z2lWrt2
@261801 Thanks for trying that out. Have you already attempted to select the option to decline setup for Apple Pay?",cancellation,no
"Hey @AppleSupport stop automatically turning on my WiFi and Bluetooth every 10 minutes. Gah damn. I want that shit off bro
@822742 Let’s see what’s causing this. As a starting point, which device and operating system are you using?",connectivity,no
"@AppleSupport i just got an 8+ and i want to use my backup from my 6s but iTunes won't let me. help?
@270787 Congratulations on your new iPhone 8 Plus. We hope you enjoy it as much as we do. Let's look into getting your backup restored on your device. Can you provide us details of what's going on? Are you receiving any messages when trying to restore the backup?",account_access,no
"So why can’t i add learn ya by @102349 to my library on iTunes 🤔 @115948 @AppleSupport
@760584 We'd like to look into this with you. Is this an album that you purchased?",account_access,no
"hey @AppleSupport I updated to High Sierra, and now my dock has 'missing app' icons instead of their actual icons. Suggestions? https://t.co/ad9kVte2FI
@287951 We can assist you. Which model of Mac are you using?",product_issue,no
"@115858 @AppleSupport please explain to me what you guys consider an active calorie? It doesn’t make sense the way it calculates...
@229525 This article explains it more: https://t.co/rvH6dpDIWq

Let us know if you have any other questions.
@AppleSupport That doesn’t explain what you consider an active. How is it I’m on a stair stepper for 30 minutes and they aren’t all considered active!? https://t.co/lnm0qfWxZq
@229525 All calories burned while active, are considered active calories. All others are considered at rest. Are you just using the iPhone or a watch as well for the Activity app?",other,no
"I think @115858 must really hate me or really really really not want me to close apps via app switcher.  it’s probably quicker to launch a space shuttle.
@392286 We're very glad you contacted us for assistance. We'd like to gain a better understanding of your issue. Please tell us a little more about what's going on. The more information you are able to provide, the better equipped we will be to determine our next steps.",technical_support,no
"My iPhone 6 is officially garbage after the new iOS update. These guys @115858 really not about that backwards compatibility.
@271136 We'd be happy to look into any issues you're experiencing with your iPhone. To start, DM us some additional information about what's going on and we'll continue from there. https://t.co/GDrqU22YpT",technical_support,no
"@AppleSupport Why do you send updates for the iPhone X to people who don’t have that phone? I fear that my phone might be messed up again but I couldn’t avoid the update.
@AppleSupport Yep. Looks like I’m having the same battery issue as before. Lucky I know how to fix it now! Unfortunately it requires me to re-set my phone cause major issues with an app I use everyday for work!
@221219 Send us a DM and let us know more details. We'll be happy to work on it with you.",delivery,no
"@AppleSupport Is there anyway to disable the “segment” feature on my outdoor run workouts? It’s breaking my mile splits and I activate accidentally a lot. Also, seems to break seeing the map afterwards?
@533539 Thanks for reaching out. We would recommend taking a look at this article to help you out: https://t.co/ik0A8dg7Jt",cancellation,no
"On vacation and don't speak the language? Just ask Siri to translate for you. https://t.co/gFzVxp6VRp
@AppleSupport When i say hey siri plz translate.. its showing search result.. not translating
@695093 Let's look into that. To start, which device and iOS version are you using?",product_issue,no
"what happen
give me reason
@AppleSupport @115858 https://t.co/z45YbiONsU
@300640 We can help! Let's pair up in DM to check into this issue you are seeing with your screen. https://t.co/GDrqU22YpT",account_access,no
"My iphone has been off the charger for 2 hours and is at 79%. God damnit @115858 do something right for a change
@176403 We want you to enjoy using your iPhone 6 without worrying about battery life. DM us, &amp; we'll work together to find a solution https://t.co/GDrqU22YpT",account_access,no
"@707262 And I️ was right because still have yet to go party rockin together &amp; never will!!!! But if you keep having cute babies then it’s totally acceptable &amp; I’ll get over I️t
@707261 Dude your phone.
@707262 I️ am switching to google Samsung if you guys don’t get your fucking shit together with this I️ situation @115858 @AppleSupport @115858
@707261 @115858 @AppleSupport I was a cooler 21 year old than tweeting a threat to apple. Just sayin.",account_access,no
"@AppleSupport From what i notice my messages and snapchat
@317437 By chance, do you currently have Do Not Disturb on or your Ring/Silent switch engaged?
@AppleSupport Its off
@317437 Let's look at the software. Are you currently running iOS 11.1? If not, check out: https://t.co/80YRnjDFDk",account_access,no
"Bruh why my camera wont work 🙄😩 @115858 @AppleSupport
@666855 We'll be happy to help you determine what's going on with your camera. To do so, let us know more about what you're experiencing. Also, which device model do you have and what is the exact iOS version installed? You can check under Settings &gt; General &gt; About.",technical_support,no
My phone is a hot mess today...new Iphone comes out and my phone starts changing letters (see last tweet) @AppleSupport what’s up?!?,connectivity,no
"@AppleSupport I’ve iPhone 7 Plus and after updating the latest iOS, voice is not hearable on very first attempt and need to make call again
@370628 We're happy to assist you with this. Do you notice any audio recording issues in Camera, or Voice Memos?
@AppleSupport No
@370628 Great! Have you tried any troubleshooting yet? Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h",billing,no
"@AppleSupport ever since I’ve updated to the new iOS my WiFi has been shit on my iPhone &amp; iPad, but everything else I have connected is fine. When I FaceTime people it just says reconnecting or disconnects...
@179141 We’d like to help get you back to enjoying your devices. Does this happen with every Wi-Fi network you connect with?",connectivity,no
"@AppleSupport getting this on my iPhone had chat with AppleCare but they’re running system maintenance so can’t help. Is this phishing? https://t.co/uOnKRVN6b4
@385347 @AppleSupport Very suspicious. Anything asking you to click a link or install then don’t. If it’s a text delete it.",account_access,no
"@AppleSupport Why is AirDrop not available iOS to macOS? Do you have the answer? Is this because of security issue/concern?
@341250  Hey there! We'd like to provide support. Let us know if this article helps: https://t.co/oy32flGpsH
@AppleSupport No. That’s macOS to macOS, macOS to iOS. There isn’t iOS to macOS.
@341250 You can share from an iOS device as well: https://t.co/1sfjYKb68x",delivery,yes
"@AppleSupport Is it OK to run my MacBook Pro standing up like this? It's too complicated to explain why, but I would like to. https://t.co/F0jeSAIXLm
@197552  You should be fine as long as the MacBook is positioned, stabilized and on a stable surface.",complaint,no
"@211657 What issues are you noticing with your iPhone? Give us some details, and we’ll be glad to jump in and help.
@AppleSupport the screen freezes, closes apps, seems to restart on its own, siri doesn’t work, the touchscreen &amp; home button don’t work 70% of the time
@AppleSupport i updated it yesterday AM and it has been glitchy ever since. an iphone 7 bought not even a full year ago
@211657 When did these issues start? Was it after updating to iOS 11 or did this begin before that?",technical_support,no
"@AppleSupport i can’t find the Manage button under subscriptions on my iPhone 6s Plus
@269166 We're here for you. There is a 'Subscriptions' section in there. Take a look at this for more details: https://t.co/bOr0wYMLXU",cancellation,no
"@115858 do you guys hate Taylor Swift? Because after I did the last update my new Taylor Swift album is gone! That combined with all these other nonsense glitches - perfect time for Google to come out with a phone.
@115858 After the newest update the Reputation album has completely disappeared from my music 😟😡",account_access,no
"Hey @AppleSupport 3/4 of these aren't news.
I choose my own music, I'd like to choose my own news sources. Thanks https://t.co/zUbfPEfGgq
@262990 Personalize your news by following or disliking topics and channels in the News app with these steps: https://t.co/oTuaMqVI3r",other,no
"@AppleSupport &lt;/rant&gt;

(for now. @115858 you broke it, pls fix it)
@515178 We'd be happy to look into what's going on. To start, can you tell us which iPhone and iOS version you're using?
@AppleSupport Thanks, I'm using an iPhone 6 64GB (MG4F2X/A) on iOS 11.0.3
@515178 Thanks for confirming that for us. Can you tell us more about what you're experiencing?",technical_support,no
"I've never had a phone that overheats as much as this one it's actually ridiculous I'm just using it normally @AppleSupport
@557936 We'd like to work on resolving any issues you're having with your iPhone. Just to help us get started, we have a few questions. Which iPhone and iOS version are you currently using? Have you received the temperature alert shown here? https://t.co/ROXQFQyQ5b",technical_support,no
".@115858 is anyone reporting alarm clock problems on 6s? If not I am mine randomly doesn't go off or it's late.
@677359 We'd like to help. Can you tell us which version of software you're using and when this issue began?",technical_support,no
"@AppleSupport Thanks so much for getting back to me so quickly. I was streaming them via WiFi and mobile data. No changes to store or region as far as I know
@142507 We're trying to find the common thread. Are you able, for example, to play some songs from an album but not all of them? Does this persist after you've rebooted the device?
@AppleSupport Thanks again. I can play some songs from the album but not certain ones. It’s the same on a few different albums with the same error message. Restarting my phone hasn’t fixed it
@142507 We want to make sure we don't advise any steps that might result in downloaded songs being deleted. Try going to Settings &gt; [your name] &gt; iCloud and sign out. Then reboot, sign back in and try one of the same songs.",account_access,no
"From 65% to 19% battery while listening to spotify and using slack. In 2 hours. Are you serious @115858 ?
My 6s is garbage after the latest updates.
Lowest brightness, no app refresh and battery saving mode on.",technical_support,no
This happened to me and I️ haven’t  even updated to 11.1! Still running 11.0.3. @AppleSupport  https://t.co/qbL4i3gieQ,technical_support,no
"Phones been so buggy since the updates :( @AppleSupport help
@328228 We'd be happy to see how we can help. What's going on?",technical_support,no
"Is there a time limit if you're chatting with Apple support online? Does anyone know? Because my chats keep randomly getting disconnected!
Ive told the same story FOUR times. And just when we're getting to the part where they can offer some new info/remedies the chat disconnects",account_access,no
"@AppleSupport Help please! Your w/ site password page isn't working!
@394963 We’re here for you. To be sure we’re on the same page, can you clarify which site you’re having an issue with?",account_access,no
"@AppleSupport I have reported about 100 numbers as spam and now I don’t recieve their texts... how do I unblock them? x
@444060 We’ll be glad to see how we can help. To start, what steps were taken to report the phone numbers as spam?
@AppleSupport I selected all messages in my inbox and clicked report as spam
@444060 Are you looking to unblock phone numbers recently blocked in your call log? If so, check this article: https://t.co/rYxZGDk3Lz",account_access,no
"I have iCloud set up on my phone so why can I still not set it on my laptop, this message comes up @AppleSupport https://t.co/rrz9iEbs5L
@288337 Let's take a look together as iCloud is a great feature to have, including on your Windows PC. Which version of Windows is it running?

Any steps tried so far since this started?
@AppleSupport Windows 10 and I only downloaded it. I tried to log in but it gave me the message saying my Apple ID had to be used on iOS, is that not my phone?
@288337 That's right and you also mentioned it's already set up and signed in on your iPhone. Have you tried a restart of both?

Also, are there any updates showing if you check for Windows updates?",account_access,no
"For someone that doesn’t own an iPhone X, why do I need this update? @115858 https://t.co/iQw8WLWcZ5
@731422 That's a great question, thanks for asking! If you didn't update to iOS 11.1.1 before this new one came out, 11.1.2 contains that information as well so it's good to update.",delivery,no
"@115858 please fix software issue. 😞 freezing music , slow ... etc
@631362 We want to help with that. Are you experiencing this only with your music? What's the device you're using?
@AppleSupport Yes ! The music will start and stop on its own as well as pause for seconds at a time. Also phone lags
@631362 What model iPhone do you have? Does this only happen with the Apple Music app? Does the same thing happen with other apps too?",technical_support,no
@AppleSupport phone randomly keeps beeping like a smoke alarm. What’s happening. Control centre says it playing a track. what is it? https://t.co/oUr67Gzt1f,technical_support,no
"Hey @AppleSupport why are podcasts unsubscribing themselves? This update is hot garbage.
@393957 We'd like to help. Is this happening with mulitple Podcasts?",billing,no
"Play the music you love, right from your Apple Watch. Here's how to add playlists and albums in watchOS 4
Learn more https://t.co/AT5kfmYtDh https://t.co/IiLTio7CoA",product_issue,no
"@AppleSupport hi my battery on my iPhone 6 is poor. It will go from 100% to 10% within an hour without even using it can you help?
@813409 Having a battery you can rely on is important. Let's see how we can help. Which iOS are you on? When did this issue start? Check out these tips to maximize your performance: https://t.co/bivpdfBNJ6",account_access,no
